id,AmountC_elevated,AmountN_elevated,CN_elevated,d13C_elevated,d15N_elevated,AmountC_ambient,AmountN_ambient,CN_ambient,d13C_ambient,d15N_ambient,AmountC_subamb,AmountN_subamb,CN_subamb,d13C_subamb,d15N_subamb,AmountC_high,AmountC_low,AmountN_high,AmountN_low,CN_high,CN_low,d13C_high,d13C_low,d15N_high,d15N_low,AmountC,AmountN,CN,d13C,d15N
RIL015,1557.48704610798,86.2210352226645,18.0638871023271,-43.5113453277755,NA,1357.26604889043,70.5944614368968,19.2262398673254,-37.2398223757283,-1.53054093203217,1662.89718673809,107.888604861547,15.4130938005184,-33.1566275943121,-2.1542325527951,200.22099721755,305.63113784766,15.6265737857677,37.2941434246502,-1.1623527649983,-3.813146066807,-6.2715229520472,4.0831947814162,NA,-0.62369162076293,1525.8834272455,88.2347005070361,17.5677402567236,-37.969265099272,-1.84238674241363
RIL016,1602.65641509555,96.5768888167445,16.5946163179537,-44.6100401411633,-0.0867387248580089,1429.35819168195,96.2873850337277,14.8447087973286,-38.8011249288951,-0.447702150227173,1650.47892361348,116.897132886165,14.1190710401831,-33.5769590219863,-1.44478196822196,173.2982234136,221.12073193153,0.289503783016798,20.6097478524373,1.7499075206251,-0.725637757145501,-5.8089152122682,5.2241659069088,0.360963425369164,-0.997079817994787,1560.83117679699,103.253802245546,15.1861320518218,-38.9960413640149,-0.659740947769047
RIL017,1631.59921195461,60.4298623624724,NA,NA,1.15981917731006,1651.86864740355,78.8766865591597,20.9424193568856,-37.4604206956718,-0.463522942237797,1536.13633099495,59.4607101198822,25.8344767140833,-32.6226273344683,-0.842184350062192,-20.2694354489402,-115.7323164086,-18.4468241966873,-19.4159764392775,NA,4.8920573571977,NA,4.8377933612035,1.62334211954786,-0.378661407824395,1606.5347301177,66.2557530138381,23.3884480354845,-35.0415240150701,-0.0486293716633097
RIL018,1286.35612470908,56.573512270552,22.7377808639019,-44.4642013382706,1.41856716905244,1345.4115441989,70.2045339417624,19.1641688742636,-38.1078279872643,0.127938278463175,1434.53342826363,109.365350191953,13.1168914628427,-32.7966930803668,-3.04699772435874,-59.05541948982,89.12188406473,-13.6310216712104,39.1608162501906,3.5736119896383,-6.0472774114209,-6.3563733510063,5.3111349068975,1.29062889058926,-3.17493600282191,1355.4336990572,78.7144654680891,18.3396137336694,-38.4562408019672,-0.500164092281042
RIL019,1521.15028425472,81.9644564723668,18.5586576148108,-44.0916138178349,1.09369160152953,1628.19501132509,84.2496376693334,19.3258399248612,-37.1805064456804,1.53646950130121,1377.26379548127,74.5998055537018,18.4620292942966,-33.9054275333763,-1.55594054597921,-107.04472707037,-250.93121584382,-2.28518119696659,-9.6498321156316,-0.767182310050398,-0.863810630564601,-6.9111073721545,3.2750789123041,-0.44277789977168,-3.09241004728042,1508.86969702036,80.2712998984673,18.7821756113229,-38.3925159322972,0.35807351895051
RIL020,1590.60410088806,89.3412673192389,17.8036885821692,-44.3047366089574,1.94180077428451,1560.38607203611,91.0581944000195,17.1361411492668,-38.9144511045788,-0.142102188801685,1360.39930193285,93.9186956002804,14.484861541548,-33.8395012924346,0.00816599048628833,30.2180288519501,-199.98677010326,-1.71692708078061,2.8605012002609,0.667547432902403,-2.6512796077188,-5.3902855043786,5.0749498121442,2.08390296308619,0.150268179287973,1503.79649161901,91.4393857731796,16.4748970909947,-39.0195630019903,0.602621525323038
RIL021,1507.91650992868,67.26808986365,22.416520418302,-44.2143237489167,0.542058518020618,1396.40695437649,74.6610895965927,18.7032758552217,NA,0.855855054593774,1505.10499901387,82.5179515296088,18.2397280969077,-33.4092907095005,-2.32940384011525,111.50955555219,108.69804463738,-7.3929997329427,7.85686193301609,3.7132445630803,-0.463547758314,NA,NA,-0.313796536573156,-3.18525889470902,1469.80948777301,74.8157103299505,19.7865081234771,-38.8118072292086,-0.310496755833619
RIL022,1496.28029553964,84.0347503705217,17.8054946190989,-43.6458382720935,2.13605729454678,1695.60663522493,93.5931264147827,18.1167859241115,-37.5769389843388,0.612713074501487,1736.50395709448,66.5013332698128,26.112317929763,-32.7296537331168,-0.114050996374433,-199.32633968529,40.8973218695501,-9.558376044261,-27.0917931449699,-0.311291305012599,7.9955320056515,-6.0688992877547,4.847285251222,1.52334422004529,-0.72676407087592,1642.79696261968,81.3764033517057,20.6781994909911,-37.984143663183,0.878239790891278
RIL023,1567.36599095762,100.301044195751,15.6266168864473,-44.2287257104385,-0.0390264021855991,1544.86602908101,101.231239993149,15.2607636653029,-37.8243172162799,-0.0688745624386287,NA,NA,NA,NA,NA,22.4999618766099,NA,-0.930195797398,NA,0.3658532211444,NA,-6.4044084941586,NA,0.0298481602530296,NA,1556.11601001932,100.76614209445,15.4436902758751,-41.0265214633592,-0.0539504823121139
RIL024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RIL025,1428.00168537923,80.2633123495785,17.7914621709071,-44.3059333053269,0.52219827083467,1560.20409151346,85.4711151351572,18.2541679612613,-37.5607403522294,-0.178237554706469,1382.15645382625,64.4062490394745,21.4599743726595,NA,NA,-132.20240613423,-178.04763768721,-5.20780278557871,-21.0648660956827,-0.4627057903542,3.2058064113982,-6.7451929530975,NA,0.700435825541139,NA,1456.78741023965,76.7135588414034,19.1685348349426,-40.9333368287782,0.171980358064101
RIL026,1623.10576175189,84.1325169224268,19.292252521679,-42.6348258233952,0.995815628024911,1592.57562574421,69.9644464826169,22.7626416817275,-38.6394670271756,-0.0864995920875192,1643.40995633705,118.662811989626,13.8494101798356,-33.6652280461908,-1.60465907832191,30.5301360076801,50.8343305928402,14.1680704398099,48.6983655070091,-3.4703891600485,-8.9132315018919,-3.9953587962196,4.9742389809848,1.08231522011243,-1.51815948623439,1619.69711461105,90.9199251315566,18.6347681277474,-38.3131736322539,-0.231781014128173
RIL027,1601.17688047448,93.1633124520805,17.1867749045319,-44.4206873759582,0.621945004987404,1403.89643879763,83.8906814128974,16.7348317495224,-37.8424292612588,0.367943233880918,1557.25852342357,87.3893730504238,17.8197699453117,-33.3903406282716,-2.81081208806339,197.28044167685,153.36208462594,9.27263103918311,3.49869163752641,0.451943155009502,1.0849381957893,-6.5782581146994,4.4520886329872,0.254001771106486,-3.17875532194431,1520.77728089856,88.1477889718006,17.247125533122,-38.5511524218295,-0.606974616398356
RIL028,1410.16426984349,77.8103239008789,18.1230998554879,-43.6314272871699,-0.872515302092876,1667.37180156934,95.7839419837942,17.4076339628144,-38.2785832719162,-0.641366107634594,1506.55179424132,112.204344258247,13.4268579723961,-33.6473318713545,-1.47395718156482,-257.20753172585,-160.82000732802,-17.9736180829153,16.4204022744528,0.7154658926735,-3.9807759904183,-5.3528440152537,4.63125140056169,-0.231149194458282,-0.832591073930226,1528.02928855138,95.2662033809734,16.3191972635661,-38.5191141434802,-0.99594619709743
