id,biomass_subamb,biomass_log_subamb,leaf_mass_subamb,leaf_mass_log_subamb,seed_mass_subamb,seed_mass_log_subamb,stem_mass_subamb,stem_mass_log_subamb,ht_flag_subamb,ht_flower_subamb,AmountC_subamb,AmountN_subamb,d13C_subamb,d15N_subamb,CN_subamb,biomass_ambient,biomass_log_ambient,leaf_mass_ambient,leaf_mass_log_ambient,seed_mass_ambient,seed_mass_log_ambient,stem_mass_ambient,stem_mass_log_ambient,ht_flag_ambient,ht_flower_ambient,AmountC_ambient,AmountN_ambient,d13C_ambient,d15N_ambient,CN_ambient,biomass_elevated,biomass_log_elevated,leaf_mass_elevated,leaf_mass_log_elevated,seed_mass_elevated,seed_mass_log_elevated,stem_mass_elevated,stem_mass_log_elevated,ht_flag_elevated,ht_flower_elevated,AmountC_elevated,AmountN_elevated,d13C_elevated,d15N_elevated,CN_elevated,AmountC_high,AmountC_low,AmountN_high,AmountN_low,CN_high,CN_low,d13C_high,d13C_low,d15N_high,d15N_low,biomass_high,biomass_low,ht_flag_high,ht_flag_low,ht_flower_high,ht_flower_low,AmountC_high2,AmountN_high2,CN_high2,d13C_high2,d15N_high2,biomass_high2,ht_flag_high2,ht_flower_high2,biomass,biomass_log,leaf_mass,leaf_mass_log,seed_mass,seed_mass_log,stem_mass,stem_mass_log,ht_flag,ht_flower,AmountC,AmountN,d13C,d15N,CN
RIL011,NA,-0.371063681390832,NA,-2.20727491318972,NA,-1.17118298150295,NA,-1.30933331998376,13.5,23.8,1331.23499081185,88.9847850338985,-33.6762275858597,-1.39813978331278,14.9602540513496,0.72,-0.328504066972036,0.1,-2.30258509299405,0.29,-1.23787435600162,0.32,-1.13943428318836,15.25,29,1548.62523311724,87.5471893807158,-37.7544518826276,NA,17.6890342690814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-217.39024230539,NA,1.4375956531827,NA,-2.7287802177318,NA,4.0782242967679,NA,NA,NA,NA,NA,-1.75,NA,-5.2,NA,NA,NA,NA,NA,NA,NA,NA,0.72,-0.349783874181434,0.1,-2.25493000309188,0.29,-1.20452866875228,0.32,-1.22438380158606,14.375,26.4,1439.93011196454,88.2659872073071,-35.7153397342436,-1.39813978331278,16.3246441602155
RIL012,0.05,-2.99573227355399,0,NA,0.04,-3.2188758248682,0.01,-4.60517018598809,6,10.97,1621.76179750659,51.2925754532122,-32.9510800658629,-1.62783241610785,NA,0.16,-1.83258146374831,0.01,-4.60517018598809,0.11,-2.20727491318972,0.04,NA,6.07,14.3,NA,NA,NA,-0.0119167521906732,24.5124132079108,0.36,-1.02165124753198,0.01,-4.60517018598809,0.26,-1.34707364796661,0.08,-2.52572864430826,8.6,17.7,1717.23122826474,72.3608652793219,-43.1355405413601,0.820373282412261,23.7314910709818,NA,NA,NA,NA,-0.780922136929,NA,NA,NA,0.832290034602934,-1.61591566391718,0.2,-0.11,2.53,-0.0700000000000003,3.4,-3.33,95.4694307581499,21.0682898261097,NA,-10.1844604754972,2.44820569852011,0.31,2.6,6.73,0.19,-1.94998832827809,0.00666666666666667,-4.60517018598809,0.136666666666667,-2.25774146200818,0.0433333333333333,-3.56544941514818,6.89,14.3233333333333,1669.49651288566,61.8267203662671,-38.0433103036115,-0.273125295295421,24.1219521394463
RIL013,0.08,-2.52572864430826,0.01,-4.60517018598809,0.06,-2.81341071676004,0.02,-3.91202300542815,6.73,13.33,1558.18411288554,66.6059584420446,-32.8431986600096,-1.08192871210117,23.3940648754623,0.45,-0.798507696217772,0.02,-3.91202300542815,0.28,-1.27296567581289,0.16,-1.83258146374831,11.03,21.93,1419.75576322848,79.3639162472199,-37.7929018051324,-1.19280946337796,17.8891847877808,0.37,-0.994252273343867,0.01,-4.60517018598809,0.26,-1.34707364796661,0.11,-2.20727491318972,6.17,17.77,1552.28052309141,83.4332909042975,-44.0779628133239,0.495435193322506,18.6050496902006,132.52475986293,138.42834965706,4.06937465707759,-12.7579578051753,0.715864902419803,5.5048800876815,-6.2850610081915,4.9497031451228,1.68824465670047,0.11088075127679,-0.08,-0.37,-4.86,-4.3,-4.16,-8.6,-5.90358979412986,16.8273324622529,-4.7890151852617,-11.2347641533143,1.57736390542368,0.29,-0.56,4.44,0.3,-1.4394962046233,0.0133333333333333,-4.37412112580144,0.2,-1.81115001351318,0.0966666666666667,-2.65062646078873,7.97666666666667,17.6766666666667,1510.07346640181,76.4677218645207,-38.238021092822,-0.593100994052208,19.9627664511479
RIL015,0.3,-1.20397280432594,0.04,-3.2188758248682,0.16,-1.83258146374831,0.1,-2.30258509299405,11.7,20.63,1662.89718673809,107.888604861547,-33.1566275943121,-2.1542325527951,15.4130938005184,0.56,-0.579818495252942,0.25,-1.38629436111989,0.24,-1.42711635564015,0.23,-1.46967597005894,13.97,23.7,1357.26604889043,70.5944614368968,-37.2398223757283,-1.53054093203217,19.2262398673254,0.32,-1.13943428318836,0.01,-4.60517018598809,0.21,-1.56064774826467,0.09,-2.40794560865187,8.77,17.8,1557.48704610798,86.2210352226645,-43.5113453277755,NA,18.0638871023271,200.22099721755,305.63113784766,15.6265737857677,37.2941434246502,-1.1623527649983,-3.813146066807,-6.2715229520472,4.0831947814162,NA,-0.62369162076293,-0.24,-0.26,-5.2,-2.27,-5.9,-3.07,-105.41014063011,-21.6675696388825,2.6507933018087,-10.3547177334634,NA,0.02,-2.93,-2.83,0.393333333333333,-0.974408527589081,0.1,-3.07011345732539,0.203333333333333,-1.60678185588438,0.14,-2.06006889056829,11.48,20.71,1525.8834272455,88.2347005070361,-37.969265099272,-1.84238674241363,17.5677402567236
RIL016,0.3,-1.20397280432594,NA,-2.40794560865187,0.09,-2.40794560865187,0.12,-2.12026353620009,12.17,19.57,1650.47892361348,116.897132886165,-33.5769590219863,-1.44478196822196,14.1190710401831,0.84,-0.174353387144778,0.33,-1.10866262452161,0.42,-0.867500567704723,0.43,-0.843970070294529,15,32.25,1429.35819168195,96.2873850337277,-38.8011249288951,-0.447702150227173,14.8447087973286,1.23,0.207014169384326,0.28,-1.27296567581289,0.42,-0.867500567704723,0.53,-0.63487827243597,19.47,33.03,1602.65641509555,96.5768888167445,-44.6100401411633,-0.0867387248580089,16.5946163179537,173.2982234136,221.12073193153,0.289503783016798,20.6097478524373,1.7499075206251,-0.725637757145501,-5.8089152122682,5.2241659069088,0.360963425369164,-0.997079817994787,0.39,-0.54,4.47,-2.83,0.780000000000001,-12.68,-47.8225085179299,-20.3202440694205,2.4755452777706,-11.033081119177,1.35804324336395,0.93,7.3,13.46,0.79,-0.390437340695464,0.305,-1.59652463632879,0.31,-1.38098224802044,0.36,-1.19970395964353,15.5466666666667,28.2833333333333,1560.83117679699,103.253802245546,-38.9960413640149,-0.659740947769047,15.1861320518218
RIL017,0.09,-2.40794560865187,0.01,-4.60517018598809,0.06,-2.81341071676004,0.03,-3.50655789731998,7.07,22.07,1536.13633099495,59.4607101198822,-32.6226273344683,-0.842184350062192,25.8344767140833,0.29,-1.23787435600162,0.01,-4.60517018598809,0.18,-1.71479842809193,0.1,-2.30258509299405,12.07,23.53,1651.86864740355,78.8766865591597,-37.4604206956718,-0.463522942237797,20.9424193568856,0.29,-1.23787435600162,0.01,-4.60517018598809,0.19,-1.66073120682165,0.09,-2.40794560865187,8.47,18.6,1631.59921195461,60.4298623624724,NA,1.15981917731006,NA,-20.2694354489402,-115.7323164086,-18.4468241966873,-19.4159764392775,NA,4.8920573571977,NA,4.8377933612035,1.62334211954786,-0.378661407824395,0,-0.2,-3.6,-5,-4.93,-1.46,95.46288095966,0.969152242590198,NA,NA,2.00200352737225,0.2,1.4,-3.47,0.223333333333333,-1.62789810688504,0.01,-4.60517018598809,0.143333333333333,-2.06298011722454,0.0733333333333333,-2.73902953298863,9.20333333333333,21.4,1606.5347301177,66.2557530138381,-35.0415240150701,-0.0486293716633097,23.3884480354845
RIL018,0.15,-1.89711998488588,0.01,-4.60517018598809,0.09,-2.40794560865187,0.05,-2.99573227355399,9.2,19.57,1434.53342826363,109.365350191953,-32.7966930803668,-3.04699772435874,13.1168914628427,0.64,-0.446287102628419,0.04,-3.2188758248682,0.33,-1.10866262452161,0.27,-1.30933331998376,15.85,30.15,1345.4115441989,70.2045339417624,-38.1078279872643,0.127938278463175,19.1641688742636,0.58,-0.544727175441672,0.03,-3.50655789731998,0.35,-1.04982212449868,0.21,-1.56064774826467,10.33,22.67,1286.35612470908,56.573512270552,-44.4642013382706,1.41856716905244,22.7377808639019,-59.05541948982,89.12188406473,-13.6310216712104,39.1608162501906,3.5736119896383,-6.0472774114209,-6.3563733510063,5.3111349068975,1.29062889058926,-3.17493600282191,-0.0600000000000001,-0.49,-5.52,-6.65,-7.48,-10.58,-148.17730355455,-52.791837921401,9.6208894010592,-11.6675082579038,4.46556489341118,0.43,1.13,3.1,0.456666666666667,-0.962711420985324,0.0266666666666667,-3.77686796939209,0.256666666666667,-1.52214345255739,0.176666666666667,-1.95523778060081,11.7933333333333,24.13,1355.4336990572,78.7144654680891,-38.4562408019672,-0.500164092281042,18.3396137336694
RIL019,0.23,-1.46967597005894,0.03,-3.50655789731998,0.12,-2.12026353620009,0.08,-2.52572864430826,11.05,20.05,1377.26379548127,74.5998055537018,-33.9054275333763,-1.55594054597921,18.4620292942966,0.74,-0.301105092783922,0.07,-2.65926003693278,0.38,-0.967584026261706,0.29,-1.23787435600162,13.4,25.1,1628.19501132509,84.2496376693334,-37.1805064456804,1.53646950130121,19.3258399248612,0.97,-0.0304592074847086,0.07,-2.65926003693278,0.48,-0.7339691750802,0.42,-0.867500567704723,17.05,33.8,1521.15028425472,81.9644564723668,-44.0916138178349,1.09369160152953,18.5586576148108,-107.04472707037,-250.93121584382,-2.28518119696659,-9.6498321156316,-0.767182310050398,-0.863810630564601,-6.9111073721545,3.2750789123041,-0.44277789977168,-3.09241004728042,0.23,-0.51,3.65,-2.35,8.7,-5.05,143.88648877345,7.36465091866501,0.0966283205142027,-10.1861862844586,2.64963214750874,0.74,6,13.75,0.646666666666667,-0.600413423442523,0.0566666666666667,-2.94169265706185,0.326666666666667,-1.273938912514,0.263333333333333,-1.5437011893382,13.8333333333333,26.3166666666667,1508.86969702036,80.2712998984673,-38.3925159322972,0.35807351895051,18.7821756113229
RIL020,0.34,-1.07880966137193,0.04,-3.2188758248682,0.2,-1.6094379124341,0.1,-2.30258509299405,9.53,18.63,1360.39930193285,93.9186956002804,-33.8395012924346,0.00816599048628833,14.484861541548,1.35,0.300104592450338,0.44,-0.82098055206983,0.34,-1.07880966137193,0.57,-0.562118918153541,22.87,35.9,1560.38607203611,91.0581944000195,-38.9144511045788,-0.142102188801685,17.1361411492668,0.46,-0.776528789498996,0.03,-3.50655789731998,0.3,-1.20397280432594,0.14,-1.96611285637283,9.27,19.3,1590.60410088806,89.3412673192389,-44.3047366089574,1.94180077428451,17.8036885821692,30.2180288519501,-199.98677010326,-1.71692708078061,2.8605012002609,0.667547432902403,-2.6512796077188,-5.3902855043786,5.0749498121442,2.08390296308619,0.150268179287973,-0.89,-1.01,-13.6,-13.34,-16.6,-17.27,230.20479895521,-4.57742828104151,3.3188270406212,-10.4652353165228,1.93363478379822,0.12,-0.26,0.670000000000002,0.716666666666667,-0.518411286140196,0.17,-2.51547142475267,0.28,-1.29740679271066,0.27,-1.61027228917347,13.89,24.61,1503.79649161901,91.4393857731796,-39.0195630019903,0.602621525323038,16.4748970909947
RIL021,0.22,-1.51412773262978,0.03,-3.50655789731998,0.11,-2.20727491318972,0.08,-2.52572864430826,11.93,19.5,1505.10499901387,82.5179515296088,-33.4092907095005,-2.32940384011525,18.2397280969077,0.27,-1.30933331998376,0.12,-2.12026353620009,0.12,-2.12026353620009,0.14,-1.96611285637283,9.05,16.7,1396.40695437649,74.6610895965927,NA,0.855855054593774,18.7032758552217,0.53,-0.63487827243597,0.05,-2.99573227355399,0.24,-1.42711635564015,0.25,-1.38629436111989,15,26.55,1507.91650992868,67.26808986365,-44.2143237489167,0.542058518020618,22.416520418302,111.50955555219,108.69804463738,-7.3929997329427,7.85686193301609,3.7132445630803,-0.463547758314,NA,NA,-0.313796536573156,-3.18525889470902,0.26,-0.05,5.95,2.88,9.85,2.8,2.81151091481001,-15.2498616659588,4.1767923213943,-10.8050330394162,2.87146235813587,0.31,3.07,7.05,0.34,-1.1527797750165,0.0666666666666667,-2.87418456902469,0.156666666666667,-1.91821826834332,0.156666666666667,-1.95937862060033,11.9933333333333,20.9166666666667,1469.80948777301,74.8157103299505,-38.8118072292086,-0.310496755833619,19.7865081234771
RIL022,0.05,-2.99573227355399,0,NA,0.03,-3.50655789731998,0.02,-3.91202300542815,6.3,13.83,1736.50395709448,66.5013332698128,-32.7296537331168,-0.114050996374433,26.112317929763,0.32,-1.13943428318836,0.01,-4.60517018598809,0.21,-1.56064774826467,0.09,-2.40794560865187,12.27,20.07,1695.60663522493,93.5931264147827,-37.5769389843388,0.612713074501487,18.1167859241115,0.42,-0.867500567704723,0.01,-4.60517018598809,0.29,-1.23787435600162,0.12,-2.12026353620009,8.3,18.97,1496.28029553964,84.0347503705217,-43.6458382720935,2.13605729454678,17.8054946190989,-199.32633968529,40.8973218695501,-9.558376044261,-27.0917931449699,-0.311291305012599,7.9955320056515,-6.0688992877547,4.847285251222,1.52334422004529,-0.72676407087592,0.1,-0.27,-3.97,-5.97,-1.1,-6.24,-240.22366155484,17.5334171007089,-8.3068233106641,-10.9161845389767,2.25010829092121,0.37,2,5.14,0.263333333333333,-1.66755570814902,0.00666666666666667,-4.60517018598809,0.176666666666667,-2.10169333386209,0.0766666666666667,-2.81341071676004,8.95666666666667,17.6233333333333,1642.79696261968,81.3764033517057,-37.984143663183,0.878239790891278,20.6781994909911
