id,biomass,biomass_log,leaf_mass,leaf_mass_log,seed_mass,seed_mass_log,stem_mass,stem_mass_log,ht_flag,ht_flower,AmountC,AmountN,d13C,d15N,CN
14,0.3,-1.20397280432594,0.04,-3.2188758248682,0.16,-1.83258146374831,0.1,-2.30258509299405,11.7,20.63,1662.89718673809,107.888604861547,-33.1566275943121,-2.1542325527951,15.4130938005184
15,0.3,-1.20397280432594,NA,-2.40794560865187,0.09,-2.40794560865187,0.12,-2.12026353620009,12.17,19.57,1650.47892361348,116.897132886165,-33.5769590219863,-1.44478196822196,14.1190710401831
16,0.09,-2.40794560865187,0.01,-4.60517018598809,0.06,-2.81341071676004,0.03,-3.50655789731998,7.07,22.07,1536.13633099495,59.4607101198822,-32.6226273344683,-0.842184350062192,25.8344767140833
17,0.15,-1.89711998488588,0.01,-4.60517018598809,0.09,-2.40794560865187,0.05,-2.99573227355399,9.2,19.57,1434.53342826363,109.365350191953,-32.7966930803668,-3.04699772435874,13.1168914628427
18,0.23,-1.46967597005894,0.03,-3.50655789731998,0.12,-2.12026353620009,0.08,-2.52572864430826,11.05,20.05,1377.26379548127,74.5998055537018,-33.9054275333763,-1.55594054597921,18.4620292942966
19,0.34,-1.07880966137193,0.04,-3.2188758248682,0.2,-1.6094379124341,0.1,-2.30258509299405,9.53,18.63,1360.39930193285,93.9186956002804,-33.8395012924346,0.00816599048628833,14.484861541548
20,0.22,-1.51412773262978,0.03,-3.50655789731998,0.11,-2.20727491318972,0.08,-2.52572864430826,11.93,19.5,1505.10499901387,82.5179515296088,-33.4092907095005,-2.32940384011525,18.2397280969077
21,0.05,-2.99573227355399,0,NA,0.03,-3.50655789731998,0.02,-3.91202300542815,6.3,13.83,1736.50395709448,66.5013332698128,-32.7296537331168,-0.114050996374433,26.112317929763
22,0.15,-1.89711998488588,0.01,-4.60517018598809,0.1,-2.30258509299405,0.04,-3.2188758248682,8.4,16,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.07,-2.65926003693278,0,NA,0.05,-2.99573227355399,0.02,-3.91202300542815,8.97,15.33,1382.15645382625,64.4062490394745,NA,NA,21.4599743726595
25,0.32,-1.13943428318836,0.05,-2.99573227355399,0.16,-1.83258146374831,0.11,-2.20727491318972,13.27,23.9,1643.40995633705,118.662811989626,-33.6652280461908,-1.60465907832191,13.8494101798356
26,0.14,-1.96611285637283,0.02,-3.91202300542815,0.08,-2.52572864430826,0.04,-3.2188758248682,8.8,16.43,1557.25852342357,87.3893730504238,-33.3903406282716,-2.81081208806339,17.8197699453117
27,NA,-0.446287102628419,NA,-1.56064774826467,0.17,-1.77195684193188,NA,-1.34707364796661,17.3,21.77,1506.55179424132,112.204344258247,-33.6473318713545,-1.47395718156482,13.4268579723961
28,0.4,-0.916290731874155,0.07,-2.65926003693278,0.2,-1.6094379124341,0.12,-2.12026353620009,11.1,18.45,1350.19095267609,82.91411998021,-34.0485546822967,-2.03447399228304,16.2842101321024
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.11,-2.20727491318972,0.01,-4.60517018598809,0.07,-2.65926003693278,0.03,-3.50655789731998,8.1,15.5,1298.72860913298,64.6070544580687,-33.1046275172866,-0.635786492500038,20.1019628588065
31,0.07,-2.65926003693278,0,NA,0.05,-2.99573227355399,0.02,-3.91202300542815,8.37,14.1,1346.0438181024,54.4366929649591,-32.4253791392273,NA,24.7267742544325
32,0.06,-2.81341071676004,0,NA,0.04,-3.2188758248682,0.02,-3.91202300542815,6,12.47,1366.96236732504,59.6688159349716,-33.4175931990558,-0.67062023175034,22.9091585932388
33,0.15,-1.89711998488588,0.01,-4.60517018598809,0.09,-2.40794560865187,0.04,-3.2188758248682,10.8,17.83,1570.8931953849,91.8296054357201,-33.7727443000432,-3.51092449643664,17.1066094418157
34,0.15,-1.89711998488588,0.02,-3.91202300542815,0.08,-2.52572864430826,0.05,-2.99573227355399,8,17.3,1554.37720646291,99.7511334182857,-33.5311320482155,-1.98957105538395,15.582551828709
35,NA,-0.63487827243597,NA,-1.71479842809193,0.13,-2.04022082852655,NA,-1.51412773262978,NA,NA,1483.90990911613,107.535118178689,-34.1200243776503,-1.28861840621002,13.7993051409526
36,0.39,-0.941608539858445,NA,-2.40794560865187,0.15,-1.89711998488588,0.15,-1.89711998488588,14.73,24.53,1476.33509816894,104.463079467415,-34.036273997654,-0.795339942345299,14.1326017354241
37,0.25,-1.38629436111989,0.03,-3.50655789731998,0.14,-1.96611285637283,0.08,-2.52572864430826,12.2,19.8,1567.55860072447,93.4827081594846,-33.7765202083015,-1.3765962814278,16.7684337733366
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.1,-2.30258509299405,0.01,-4.60517018598809,0.06,-2.81341071676004,0.03,-3.50655789731998,8.93,18.03,1651.36805652354,72.2355576745642,-32.8645271825177,-0.841271733016976,22.8608750272723
40,0.3,-1.20397280432594,NA,-2.20727491318972,0.07,-2.65926003693278,0.13,-2.04022082852655,13.63,20.3,1272.91049498674,87.8661306491662,-33.3527639401912,-1.9631113972238,14.4869301240685
41,0.21,-1.56064774826467,0.03,-3.50655789731998,0.11,-2.20727491318972,0.08,-2.52572864430826,11.7,22.73,1522.04118940656,90.9838871863009,-33.5966308078375,-2.2687478038579,16.7286894028828
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.11,-2.20727491318972,0.02,-3.91202300542815,0.06,-2.81341071676004,0.04,-3.2188758248682,10.4,19.4,1623.1198610508,89.2479628022692,-33.9759042294404,-2.22354387025286,18.1866320539647
44,0.24,-1.42711635564015,0.03,-3.50655789731998,0.14,-1.96611285637283,0.08,-2.52572864430826,10.4,19.93,1637.35800017473,103.152968636368,-33.6011982485235,-2.18994997730498,15.8731059495408
45,0.16,-1.83258146374831,0.04,-3.2188758248682,0.06,-2.81341071676004,0.06,-2.81341071676004,12.33,19.67,1597.11148090207,107.492465670937,-33.7050257859316,-2.26410772710317,14.8578923269957
46,0.12,-2.12026353620009,0.01,-4.60517018598809,0.08,-2.52572864430826,0.03,-3.50655789731998,8.23,16.03,1536.97151624729,93.318750185328,-33.9891536089955,-2.11686475651669,16.4701253841796
47,0.08,-2.52572864430826,0.01,-4.60517018598809,0.05,-2.99573227355399,0.02,-3.91202300542815,6.67,12.93,1694.56943049183,69.2262554989198,-32.5669069058914,-0.892944265694233,24.478709967467
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.07,-2.65926003693278,0,NA,0.04,-3.2188758248682,0.02,-3.91202300542815,9.03,12.57,1482.62752698665,56.6536735178877,-32.6534059093578,-0.577570523516453,26.1700157275509
50,0.36,-1.02165124753198,NA,-1.89711998488588,0.09,-2.40794560865187,0.12,-2.12026353620009,14.33,24.6,1522.90741967714,NA,-34.3029264000331,-0.869785488246108,11.1245852354798
51,0.13,-2.04022082852655,0.01,-4.60517018598809,0.08,-2.52572864430826,0.04,-3.2188758248682,10,16.77,NA,NA,NA,NA,NA
52,0.33,-1.10866262452161,0.05,-2.99573227355399,0.17,-1.77195684193188,0.12,-2.12026353620009,12.37,24.6,1402.93044276402,85.5080432163495,-33.9465054639514,-2.72240675429513,16.4069997393622
53,0.24,-1.42711635564015,0.04,-3.2188758248682,0.11,-2.20727491318972,0.09,-2.40794560865187,12.37,19.5,1559.12632274059,104.327488585899,-33.8882853422176,0.183719467021296,14.9445399661555
54,0.12,-2.12026353620009,0.01,-4.60517018598809,0.07,-2.65926003693278,0.03,-3.50655789731998,8.13,16.07,1729.59062608534,85.0466188906398,-33.2622421153523,0.108041480158084,20.336971047719
55,0.23,-1.46967597005894,0.03,-3.50655789731998,0.11,-2.20727491318972,0.08,-2.52572864430826,11.27,22.87,1351.17837893545,75.4623924147609,-33.8124877575261,-2.85647286464287,17.9053212560373
56,0.06,-2.81341071676004,0.01,-4.60517018598809,0.04,-3.2188758248682,0.01,-4.60517018598809,8.6,14,NA,NA,NA,NA,NA
57,0.19,-1.66073120682165,0.02,-3.91202300542815,0.1,-2.30258509299405,0.07,-2.65926003693278,11.2,21.17,1360.81649755264,77.3824649314855,-33.7654848231537,-0.479110139533929,17.5855925338836
58,0.19,-1.66073120682165,0.02,-3.91202300542815,0.11,-2.20727491318972,0.06,-2.81341071676004,10.63,20.23,1446.20253224439,80.0131362816157,-33.358553053176,-2.95141718039846,18.0745637460617
59,NA,-0.415515443961666,NA,-1.6094379124341,NA,-1.51412773262978,NA,-1.30933331998376,16.8,26.4,1478.70888960167,115.873741444779,-33.722048452735,-2.17663917959615,12.7613803711203
60,0.15,-1.89711998488588,0.01,-4.60517018598809,0.09,-2.40794560865187,0.05,-2.99573227355399,10.4,18,1759.23688853649,83.7917236174362,-32.9584422680916,-3.56236287134071,20.9953538677466
61,0.07,-2.65926003693278,0,NA,0.05,-2.99573227355399,0.02,-3.91202300542815,5.83,13.2,1398.80376810319,64.2277750725163,-32.9036483681467,-1.57479386933569,21.7787984485509
62,0.06,-2.81341071676004,0.01,-4.60517018598809,0.04,-3.2188758248682,0.02,-3.91202300542815,6.5,13.5,NA,68.2712626882587,-32.956505584901,-0.937965636347797,NA
63,0.42,-0.867500567704723,0.07,-2.65926003693278,0.18,-1.71479842809193,0.17,-1.77195684193188,12.23,24.6,1355.1147347547,94.5542852181417,-33.8852262750019,-2.47089819929889,14.3316057186449
64,0.36,-1.02165124753198,NA,-2.04022082852655,0.08,-2.52572864430826,0.15,-1.89711998488588,16.5,22.55,1690.16651641707,109.196445968539,NA,-0.97805279325579,15.4782191070947
65,0.31,-1.17118298150295,0.04,-3.2188758248682,0.16,-1.83258146374831,0.11,-2.20727491318972,12.27,23.37,1545.48976754008,107.48114656333,-33.7958807036241,-1.81113667189223,14.3791708309461
66,0.04,-3.2188758248682,0,NA,0.03,-3.50655789731998,0.01,-4.60517018598809,6.33,12,NA,NA,-32.8165241351457,-0.617672700814167,NA
67,0.13,-2.04022082852655,0.01,-4.60517018598809,0.08,-2.52572864430826,0.04,-3.2188758248682,8.03,14.7,1320.41072452284,74.153731667877,-33.2307789366644,-1.86313224395301,17.8063961829561
68,0.33,-1.10866262452161,0.06,-2.81341071676004,0.16,-1.83258146374831,0.12,-2.12026353620009,13.27,22.57,1376.07866007752,95.1409238941907,-34.0421258322867,-2.49564583687832,14.4635831118047
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,0.12,-2.12026353620009,0.01,-4.60517018598809,0.07,-2.65926003693278,0.03,-3.50655789731998,7.5,15.1,1786.71310793371,71.8698226345419,-33.0712103873321,-1.8166185880096,24.8604079214046
71,0.14,-1.96611285637283,0.02,-3.91202300542815,0.06,-2.81341071676004,0.06,-2.81341071676004,11.5,19.03,1548.07328745087,66.7546385456782,-33.5334834222296,-3.71738633486774,23.190497636978
72,0.15,-1.89711998488588,0.02,-3.91202300542815,0.09,-2.40794560865187,0.05,-2.99573227355399,10.37,18.3,1579.09700881466,82.1766716977046,-33.3608420167297,-0.706905856030196,19.2158793510587
73,0.08,-2.52572864430826,0.01,-4.60517018598809,0.05,-2.99573227355399,0.02,-3.91202300542815,7.17,13.87,1601.07368196753,61.349289400454,-33.1161126269837,-0.587417014148516,26.0976728111163
74,0.09,-2.40794560865187,0.01,-4.60517018598809,0.07,-2.65926003693278,0.02,-3.91202300542815,5.67,11.17,1367.20187742314,55.0548405677083,-32.8269695996273,-0.888471041912945,24.8334544851095
75,0.43,-0.843970070294529,NA,-2.12026353620009,0.13,-2.04022082852655,0.18,-1.71479842809193,12.9,20.93,1419.79140921265,88.783834086886,-34.4995085806232,-2.52862912489466,15.9915532350541
76,0.05,-2.99573227355399,0,NA,0.03,-3.50655789731998,0.01,-4.60517018598809,8,11.35,NA,NA,NA,NA,NA
77,0.16,-1.83258146374831,0.02,-3.91202300542815,0.09,-2.40794560865187,0.05,-2.99573227355399,8.63,16.4,1535.05349513615,76.1760613895576,-33.3682503719062,-1.99047594550874,20.1513896509563
78,0.16,-1.83258146374831,0.01,-4.60517018598809,0.09,-2.40794560865187,0.05,-2.99573227355399,10.03,17.83,1261.88632527127,71.7193128733962,-33.5708132948058,-0.754015867980821,17.5947910641424
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,0.08,-2.52572864430826,0.01,-4.60517018598809,0.05,-2.99573227355399,0.02,-3.91202300542815,9.07,15.37,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,0.08,-2.52572864430826,0.01,-4.60517018598809,0.06,-2.81341071676004,0.02,-3.91202300542815,7,13.73,1649.40250268237,80.5450900620792,-33.3821766479525,-1.912947597336,20.4780018423359
83,0.1,-2.30258509299405,0.01,-4.60517018598809,0.05,-2.99573227355399,0.04,-3.2188758248682,14.3,21,1673.32832677645,85.0381600596936,NA,-0.499224102138297,19.6773816084666
84,0.27,-1.30933331998376,0.04,-3.2188758248682,0.14,-1.96611285637283,0.09,-2.40794560865187,10.53,19.4,1369.86689238362,95.3928554781578,-33.9189823591299,-2.57314502522318,14.3602671868574
85,0.18,-1.71479842809193,0.02,-3.91202300542815,0.1,-2.30258509299405,0.06,-2.81341071676004,11.27,17.97,1604.06760634261,85.9594417937664,-33.26286593577,-4.09640733654017,18.660749451946
86,0.23,-1.46967597005894,0.02,-3.91202300542815,0.13,-2.04022082852655,0.08,-2.52572864430826,9.47,17,1691.11552569568,102.906047056175,-33.0196884244282,-2.44849451037923,16.4335874720027
87,0.11,-2.20727491318972,0.01,-4.60517018598809,0.07,-2.65926003693278,0.03,-3.50655789731998,9.57,17.17,1520.57384449487,72.2985343940538,-33.2086186015378,-0.321658230472541,21.0318764721727
88,0.2,-1.6094379124341,0.03,-3.50655789731998,0.11,-2.20727491318972,0.06,-2.81341071676004,11.3,20.6,1339.32139854742,79.3199348042472,-33.3655773976228,-2.18933284449334,16.8850542029909
89,0.24,-1.42711635564015,0.05,-2.99573227355399,0.09,-2.40794560865187,0.1,-2.30258509299405,13.33,24.9,1407.78076976138,96.7127148456674,-34.1687078068318,-1.68686792822155,14.5563152891312
90,0.14,-1.96611285637283,0.02,-3.91202300542815,0.07,-2.65926003693278,0.05,-2.99573227355399,9.65,18.4,1670.660431727,107.98078350592,-33.7958219436075,-2.02242696591447,15.4718309821803
91,0.18,-1.71479842809193,0.02,-3.91202300542815,0.11,-2.20727491318972,0.06,-2.81341071676004,8.43,16.87,1357.80956603409,81.8230926058913,-34.1236726593983,-2.2972797863332,16.5944542401264
92,0.13,-2.04022082852655,0.01,-4.60517018598809,0.08,-2.52572864430826,0.04,-3.2188758248682,8.93,17.67,1337.21010227804,76.4705714347037,-33.1757116138629,-2.68877897611161,17.4865974869803
93,0.18,-1.71479842809193,0.02,-3.91202300542815,0.1,-2.30258509299405,0.06,-2.81341071676004,7.13,17.37,1572.07289777617,108.486156304962,-33.9556198287489,-1.76545987451525,14.491000062321
